,Fulham,Nott'ham Forest,Bournemouth,Everton,Leeds United,West Ham,Huddersfield,Aston Villa,Burnley,Sheffield Utd,Cardiff City,Manchester Utd,Watford,Newcastle Utd,Leicester City,Liverpool,Brentford,Southampton,Wolves,Brighton,Tottenham,Arsenal,Norwich City,Crystal Palace,Chelsea,West Brom,Manchester City,Luton Town
891,30,39,30,66,0,36,0,63,63,33,0,75,0,75,0,81,93,0,48,60,48,96,0,48,36,0,87,33
892,27,36,48,60,0,66,0,63,15,36,0,84,0,75,0,78,54,0,75,72,51,84,0,51,45,0,105,15
893,48,57,39,45,0,39,0,90,51,21,0,66,0,69,0,93,60,0,54,66,30,75,0,30,81,0,99,27
894,42,51,45,48,0,42,0,36,12,51,0,99,0,42,0,84,66,0,54,48,57,81,0,54,72,0,108,48
895,54,39,51,36,0,63,0,69,45,33,0,63,0,90,0,87,90,0,45,42,42,66,0,66,45,0,93,21
896,30,30,57,66,0,54,0,57,30,24,0,69,0,81,0,84,75,0,51,84,81,51,0,51,33,0,105,27
897,33,54,57,69,0,39,0,54,21,36,0,69,0,63,0,102,99,0,54,39,57,87,0,57,39,0,81,30
898,39,39,45,33,0,33,0,45,63,21,0,72,0,78,0,102,60,0,27,75,81,105,0,54,63,0,81,24
899,27,57,54,60,0,39,0,66,33,21,0,72,0,96,0,81,72,0,60,66,75,51,0,54,39,0,84,33
900,48,48,57,24,0,60,0,63,18,51,0,90,0,57,0,96,57,0,39,63,84,75,0,30,69,0,87,24
901,45,33,36,51,0,51,0,48,48,21,0,75,0,72,0,69,69,0,39,75,69,69,0,72,81,0,90,27
902,30,39,54,33,0,54,0,60,54,15,0,57,0,69,0,72,78,0,21,93,72,72,0,66,66,0,93,42
903,24,42,42,39,0,27,0,78,33,51,0,93,0,78,0,72,63,0,78,81,60,66,0,36,51,0,102,24
904,36,39,51,42,0,42,0,51,66,39,0,90,0,81,0,72,78,0,24,84,75,66,0,39,42,0,96,27
905,24,36,75,54,0,45,0,51,39,27,0,81,0,90,0,72,78,0,54,81,48,75,0,66,42,0,90,12
906,18,42,51,33,0,42,0,54,45,39,0,90,0,75,0,99,87,0,39,54,60,72,0,69,42,0,81,48
907,39,75,45,75,0,39,0,63,33,42,0,75,0,84,0,84,51,0,24,36,45,75,0,69,39,0,102,45
908,42,60,27,51,0,39,0,60,24,54,0,81,0,90,0,75,45,0,42,66,72,81,0,48,66,0,96,21
909,33,48,45,39,0,60,0,63,39,57,0,57,0,105,0,75,45,0,75,57,66,72,0,66,36,0,78,24
910,33,45,36,63,0,48,0,42,21,27,0,84,0,69,0,84,84,0,51,102,51,84,0,54,45,0,93,24
911,54,45,36,48,0,33,0,66,45,15,0,87,0,81,0,60,84,0,60,45,45,66,0,48,63,0,108,51
912,60,51,30,45,0,51,0,84,69,27,0,69,0,99,0,75,57,0,42,60,63,48,0,54,24,0,99,33
913,42,33,42,27,0,54,0,81,51,36,0,99,0,84,0,81,78,0,24,69,87,48,0,36,45,0,99,24
914,24,54,42,33,0,54,0,33,45,15,0,84,0,93,0,78,90,0,42,66,84,81,0,51,63,0,87,21
915,63,66,27,39,0,72,0,93,42,30,0,90,0,48,0,87,72,0,33,60,57,72,0,21,57,0,90,21
916,66,33,36,51,0,24,0,66,30,48,0,78,0,87,0,75,78,0,51,87,36,72,0,54,42,0,111,15
917,27,48,36,30,0,75,0,72,42,42,0,66,0,81,0,54,75,0,60,69,75,93,0,81,30,0,78,6
918,48,42,45,30,0,57,0,63,57,48,0,81,0,63,0,42,60,0,33,84,75,87,0,57,39,0,84,45
919,57,57,27,45,0,63,0,63,30,15,0,60,0,81,0,75,84,0,57,81,78,54,0,48,30,0,102,33
920,33,36,54,57,0,45,0,69,57,57,0,51,0,78,0,81,87,0,42,81,66,72,0,36,36,0,81,21
921,57,54,33,81,0,45,0,51,63,18,0,72,0,81,0,90,63,0,42,42,54,48,0,39,72,0,102,33
